Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Aragón;De 85 a 89 años;Hombres;2019;22,263
Aragón;De 85 a 89 años;Hombres;2018;45,21
Aragón;De 85 a 89 años;Mujeres;2021;0
Aragón;De 85 a 89 años;Mujeres;2020;4,521
Aragón;De 85 a 89 años;Mujeres;2019;13,513
Aragón;De 85 a 89 años;Mujeres;2018;9,122
Aragón;De 90 a 94 años;Total;2021;17,414
Aragón;De 90 a 94 años;Total;2020;17,767
Aragón;De 90 a 94 años;Total;2019;12,207
Aragón;De 90 a 94 años;Total;2018;12,63
Aragón;De 90 a 94 años;Hombres;2021;36,206
Aragón;De 90 a 94 años;Hombres;2020;55,248
Aragón;De 90 a 94 años;Hombres;2019;38,034
Aragón;De 90 a 94 años;Hombres;2018;39,401
Aragón;De 90 a 94 años;Mujeres;2021;8,544
Aragón;De 90 a 94 años;Mujeres;2020;0
Aragón;De 90 a 94 años;Mujeres;2019;0
Aragón;De 90 a 94 años;Mujeres;2018;0
Aragón;95 y más años;Total;2021;38,625
Aragón;95 y más años;Total;2020;38,135
Aragón;95 y más años;Total;2019;0
Aragón;95 y más años;Total;2018;21,022
Aragón;95 y más años;Hombres;2021;159,49
Aragón;95 y más años;Hombres;2020;72,899
Aragón;95 y más años;Hombres;2019;0
Aragón;95 y más años;Hombres;2018;81,623
Aragón;95 y más años;Mujeres;2021;0
Aragón;95 y más años;Mujeres;2020;25,821
Aragón;95 y más años;Mujeres;2019;0
Aragón;95 y más años;Mujeres;2018;0
Asturias, Principado de;Menos de 15 años;Total;2021;0
Asturias, Principado de;Menos de 15 años;Total;2020;0
Asturias, Principado de;Menos de 15 años;Total;2019;0
Asturias, Principado de;Menos de 15 años;Total;2018;0
Asturias, Principado de;Menos de 15 años;Hombres;2021;0
Asturias, Principado de;Menos de 15 años;Hombres;2020;0
Asturias, Principado de;Menos de 15 años;Hombres;2019;0
Asturias, Principado de;Menos de 15 años;Hombres;2018;0
Asturias, Principado de;Menos de 15 años;Mujeres;2021;0
Asturias, Principado de;Menos de 15 años;Mujeres;2020;0
Asturias, Principado de;Menos de 15 años;Mujeres;2019;0
Asturias, Principado de;Menos de 15 años;Mujeres;2018;0
Asturias, Principado de;De 15 a 29 años;Total;2021;6,774
Asturias, Principado de;De 15 a 29 años;Total;2020;7,563
Asturias, Principado de;De 15 a 29 años;Total;2019;5,911
Asturias, Principado de;De 15 a 29 años;Total;2018;4,218
Asturias, Principado de;De 15 a 29 años;Hombres;2021;8,262
Asturias, Principado de;De 15 a 29 años;Hombres;2020;6,565
Asturias, Principado de;De 15 a 29 años;Hombres;2019;9,9
Asturias, Principado de;De 15 a 29 años;Hombres;2018;6,604
Asturias, Principado de;De 15 a 29 años;Mujeres;2021;5,21
Asturias, Principado de;De 15 a 29 años;Mujeres;2020;8,61
Asturias, Principado de;De 15 a 29 años;Mujeres;2019;1,73
Asturias, Principado de;De 15 a 29 años;Mujeres;2018;1,725
Asturias, Principado de;De 30 a 39 años;Total;2021;7,552
Asturias, Principado de;De 30 a 39 años;Total;2020;7,192
Asturias, Principado de;De 30 a 39 años;Total;2019;10,251
Asturias, Principado de;De 30 a 39 años;Total;2018;6,47
Asturias, Principado de;De 30 a 39 años;Hombres;2021;13,256
Asturias, Principado de;De 30 a 39 años;Hombres;2020;8,992
Asturias, Principado de;De 30 a 39 años;Hombres;2019;13,655
Asturias, Principado de;De 30 a 39 años;Hombres;2018;11,312
Asturias, Principado de;De 30 a 39 años;Mujeres;2021;1,882
Asturias, Principado de;De 30 a 39 años;Mujeres;2020;5,393
Asturias, Principado de;De 30 a 39 años;Mujeres;2019;6,841
Asturias, Principado de;De 30 a 39 años;Mujeres;2018;1,619
Asturias, Principado de;De 40 a 44 años;Total;2021;16,396
Asturias, Principado de;De 40 a 44 años;Total;2020;6,1
Asturias, Principado de;De 40 a 44 años;Total;2019;8,317
Asturias, Principado de;De 40 a 44 años;Total;2018;10,562
Asturias, Principado de;De 40 a 44 años;Hombres;2021;25,344
Asturias, Principado de;De 40 a 44 años;Hombres;2020;4,878
Asturias, Principado de;De 40 a 44 años;Hombres;2019;9,484
Asturias, Principado de;De 40 a 44 años;Hombres;2018;14,014
Asturias, Principado de;De 40 a 44 años;Mujeres;2021;7,532
Asturias, Principado de;De 40 a 44 años;Mujeres;2020;7,322
Asturias, Principado de;De 40 a 44 años;Mujeres;2019;7,146
Asturias, Principado de;De 40 a 44 años;Mujeres;2018;7,076
Asturias, Principado de;De 45 a 49 años;Total;2021;9,365
Asturias, Principado de;De 45 a 49 años;Total;2020;15,424
Asturias, Principado de;De 45 a 49 años;Total;2019;14,453
Asturias, Principado de;De 45 a 49 años;Total;2018;17,047
Asturias, Principado de;De 45 a 49 años;Hombres;2021;16,491
Asturias, Principado de;De 45 a 49 años;Hombres;2020;21,489
Asturias, Principado de;De 45 a 49 años;Hombres;2019;26,653
Asturias, Principado de;De 45 a 49 años;Hombres;2018;12,235
Asturias, Principado de;De 45 a 49 años;Mujeres;2021;2,327
Asturias, Principado de;De 45 a 49 años;Mujeres;2020;9,434
Asturias, Principado de;De 45 a 49 años;Mujeres;2019;2,395
Asturias, Principado de;De 45 a 49 años;Mujeres;2018;21,814
Asturias, Principado de;De 50 a 54 años;Total;2021;21,04
Asturias, Principado de;De 50 a 54 años;Total;2020;9,912
Asturias, Principado de;De 50 a 54 años;Total;2019;17,281
Asturias, Principado de;De 50 a 54 años;Total;2018;14,727
Asturias, Principado de;De 50 a 54 años;Hombres;2021;22,499
Asturias, Principado de;De 50 a 54 años;Hombres;2020;15,056
Asturias, Principado de;De 50 a 54 años;Hombres;2019;27,582
Asturias, Principado de;De 50 a 54 años;Hombres;2018;20,007
Asturias, Principado de;De 50 a 54 años;Mujeres;2021;19,608
Asturias, Principado de;De 50 a 54 años;Mujeres;2020;4,895
Asturias, Principado de;De 50 a 54 años;Mujeres;2019;7,293
Asturias, Principado de;De 50 a 54 años;Mujeres;2018;9,64
Asturias, Principado de;De 55 a 59 años;Total;2021;23,453
Asturias, Principado de;De 55 a 59 años;Total;2020;14,691
Asturias, Principado de;De 55 a 59 años;Total;2019;17,051
Asturias, Principado de;De 55 a 59 años;Total;2018;14,557
Asturias, Principado de;De 55 a 59 años;Hombres;2021;33,122
Asturias, Principado de;De 55 a 59 años;Hombres;2020;22,744
Asturias, Principado de;De 55 a 59 años;Hombres;2019;25,148
Asturias, Principado de;De 55 a 59 años;Hombres;2018;17,557
Asturias, Principado de;De 55 a 59 años;Mujeres;2021;14,366
Asturias, Principado de;De 55 a 59 años;Mujeres;2020;7,124
Asturias, Principado de;De 55 a 59 años;Mujeres;2019;9,447
Asturias, Principado de;De 55 a 59 años;Mujeres;2018;11,747
Asturias, Principado de;De 60 a 64 años;Total;2021;13,542
Asturias, Principado de;De 60 a 64 años;Total;2020;22,301
Asturias, Principado de;De 60 a 64 años;Total;2019;10,089
Asturias, Principado de;De 60 a 64 años;Total;2018;14,143
Asturias, Principado de;De 60 a 64 años;Hombres;2021;18,103
Asturias, Principado de;De 60 a 64 años;Hombres;2020;33,885
Asturias, Principado de;De 60 a 64 años;Hombres;2019;10,617
Asturias, Principado de;De 60 a 64 años;Hombres;2018;18,921
Asturias, Principado de;De 60 a 64 años;Mujeres;2021;9,398
Asturias, Principado de;De 60 a 64 años;Mujeres;2020;11,806
Asturias, Principado de;De 60 a 64 años;Mujeres;2019;9,611
Asturias, Principado de;De 60 a 64 años;Mujeres;2018;9,808
Asturias, Principado de;De 65 a 69 años;Total;2021;6,975
Asturias, Principado de;De 65 a 69 años;Total;2020;11,425
Asturias, Principado de;De 65 a 69 años;Total;2019;7,227
Asturias, Principado de;De 65 a 69 años;Total;2018;14,523
Asturias, Principado de;De 65 a 69 años;Hombres;2021;8,942
Asturias, Principado de;De 65 a 69 años;Hombres;2020;18,216
Asturias, Principado de;De 65 a 69 años;Hombres;2019;15,327
Asturias, Principado de;De 65 a 69 años;Hombres;2018;27,736
Asturias, Principado de;De 65 a 69 años;Mujeres;2021;5,245
Asturias, Principado de;De 65 a 69 años;Mujeres;2020;5,393
Asturias, Principado de;De 65 a 69 años;Mujeres;2019;0
Asturias, Principado de;De 65 a 69 años;Mujeres;2018;2,747
Asturias, Principado de;De 70 a 74 años;Total;2021;17,292
Asturias, Principado de;De 70 a 74 años;Total;2020;14,168
Asturias, Principado de;De 70 a 74 años;Total;2019;11,154
Asturias, Principado de;De 70 a 74 años;Total;2018;22,969
Asturias, Principado de;De 70 a 74 años;Hombres;2021;31,146
Asturias, Principado de;De 70 a 74 años;Hombres;2020;27,885
Asturias, Principado de;De 70 a 74 años;Hombres;2019;21,179
Asturias, Principado de;De 70 a 74 años;Hombres;2018;32,765
Asturias, Principado de;De 70 a 74 años;Mujeres;2021;5,761
Asturias, Principado de;De 70 a 74 años;Mujeres;2020;2,871
Asturias, Principado de;De 70 a 74 años;Mujeres;2019;2,904
Asturias, Principado de;De 70 a 74 años;Mujeres;2018;14,933
Asturias, Principado de;De 75 a 79 años;Total;2021;16,059
Asturias, Principado de;De 75 a 79 años;Total;2020;10,65
Asturias, Principado de;De 75 a 79 años;Total;2019;25,033
Asturias, Principado de;De 75 a 79 años;Total;2018;17,099
Asturias, Principado de;De 75 a 79 años;Hombres;2021;27,915
Asturias, Principado de;De 75 a 79 años;Hombres;2020;19,657
Asturias, Principado de;De 75 a 79 años;Hombres;2019;36,674
Asturias, Principado de;De 75 a 79 años;Hombres;2018;33,968
Asturias, Principado de;De 75 a 79 años;Mujeres;2021;7,061
Asturias, Principado de;De 75 a 79 años;Mujeres;2020;3,76
Asturias, Principado de;De 75 a 79 años;Mujeres;2019;16,093
Asturias, Principado de;De 75 a 79 años;Mujeres;2018;4,297
Asturias, Principado de;De 80 a 84 años;Total;2021;29,186
Asturias, Principado de;De 80 a 84 años;Total;2020;36,257
Asturias, Principado de;De 80 a 84 años;Total;2019;26,204
Asturias, Principado de;De 80 a 84 años;Total;2018;41,429
Asturias, Principado de;De 80 a 84 años;Hombres;2021;51,983
Asturias, Principado de;De 80 a 84 años;Hombres;2020;86,06
Asturias, Principado de;De 80 a 84 años;Hombres;2019;60,832
Asturias, Principado de;De 80 a 84 años;Hombres;2018;81,645
Asturias, Principado de;De 80 a 84 años;Mujeres;2021;14,425
Asturias, Principado de;De 80 a 84 años;Mujeres;2020;4,564
Asturias, Principado de;De 80 a 84 años;Mujeres;2019;4,279
Asturias, Principado de;De 80 a 84 años;Mujeres;2018;15,929
Asturias, Principado de;De 85 a 89 años;Total;2021;28,669
Asturias, Principado de;De 85 a 89 años;Total;2020;34,679
Asturias, Principado de;De 85 a 89 años;Total;2019;28,283
Asturias, Principado de;De 85 a 89 años;Total;2018;41,539
Asturias, Principado de;De 85 a 89 años;Hombres;2021;36,607
Asturias, Principado de;De 85 a 89 años;Hombres;2020;72,229
Asturias, Principado de;De 85 a 89 años;Hombres;2019;54,752
Asturias, Principado de;De 85 a 89 años;Hombres;2018;103,629
Asturias, Principado de;De 85 a 89 años;Mujeres;2021;24,431
Asturias, Principado de;De 85 a 89 años;Mujeres;2020;14,532
Asturias, Principado de;De 85 a 89 años;Mujeres;2019;14,38
Asturias, Principado de;De 85 a 89 años;Mujeres;2018;9,671
Asturias, Principado de;De 90 a 94 años;Total;2021;13,112
Asturias, Principado de;De 90 a 94 años;Total;2020;20,454
Asturias, Principado de;De 90 a 94 años;Total;2019;70,856
Asturias, Principado de;De 90 a 94 años;Total;2018;36,843
Asturias, Principado de;De 90 a 94 años;Hombres;2021;45,924
Asturias, Principado de;De 90 a 94 años;Hombres;2020;72,208
Asturias, Principado de;De 90 a 94 años;Hombres;2019;203,093
Asturias, Principado de;De 90 a 94 años;Hombres;2018;106,016
Asturias, Principado de;De 90 a 94 años;Mujeres;2021;0
Asturias, Principado de;De 90 a 94 años;Mujeres;2020;0
Asturias, Principado de;De 90 a 94 años;Mujeres;2019;19,658
Asturias, Principado de;De 90 a 94 años;Mujeres;2018;10,206
Asturias, Principado de;95 y más años;Total;2021;22,095
Asturias, Principado de;95 y más años;Total;2020;0
Asturias, Principado de;95 y más años;Total;2019;51,78
Asturias, Principado de;95 y más años;Total;2018;27,612
Asturias, Principado de;95 y más años;Hombres;2021;102,987
Asturias, Principado de;95 y más años;Hombres;2020;0
Asturias, Principado de;95 y más años;Hombres;2019;235,307
Asturias, Principado de;95 y más años;Hombres;2018;127,14
Asturias, Principado de;95 y más años;Mujeres;2021;0
Asturias, Principado de;95 y más años;Mujeres;2020;0
Asturias, Principado de;95 y más años;Mujeres;2019;0
Asturias, Principado de;95 y más años;Mujeres;2018;0
Balears, Illes;Menos de 15 años;Total;2021;0
Balears, Illes;Menos de 15 años;Total;2020;0
Balears, Illes;Menos de 15 años;Total;2019;0,566
Balears, Illes;Menos de 15 años;Total;2018;0
Balears, Illes;Menos de 15 años;Hombres;2021;0
Balears, Illes;Menos de 15 años;Hombres;2020;0
Balears, Illes;Menos de 15 años;Hombres;2019;1,092
Balears, Illes;Menos de 15 años;Hombres;2018;0
Balears, Illes;Menos de 15 años;Mujeres;2021;0
Balears, Illes;Menos de 15 años;Mujeres;2020;0
Balears, Illes;Menos de 15 años;Mujeres;2019;0
Balears, Illes;Menos de 15 años;Mujeres;2018;0
Balears, Illes;De 15 a 29 años;Total;2021;4,14
Balears, Illes;De 15 a 29 años;Total;2020;2,527
Balears, Illes;De 15 a 29 años;Total;2019;4,105
Balears, Illes;De 15 a 29 años;Total;2018;6,321
Balears, Illes;De 15 a 29 años;Hombres;2021;5,076
Balears, Illes;De 15 a 29 años;Hombres;2020;3,965
Balears, Illes;De 15 a 29 años;Hombres;2019;7,066
Balears, Illes;De 15 a 29 años;Hombres;2018;7,281
Balears, Illes;De 15 a 29 años;Mujeres;2021;3,166
Balears, Illes;De 15 a 29 años;Mujeres;2020;1,031
Balears, Illes;De 15 a 29 años;Mujeres;2019;1,043
Balears, Illes;De 15 a 29 años;Mujeres;2018;5,336
Balears, Illes;De 30 a 39 años;Total;2021;6,841
Balears, Illes;De 30 a 39 años;Total;2020;7,533
Balears, Illes;De 30 a 39 años;Total;2019;6,928
Balears, Illes;De 30 a 39 años;Total;2018;4,776
Balears, Illes;De 30 a 39 años;Hombres;2021;9,048
Balears, Illes;De 30 a 39 años;Hombres;2020;12,857
Balears, Illes;De 30 a 39 años;Hombres;2019;11,66
Balears, Illes;De 30 a 39 años;Hombres;2018;7,382
Balears, Illes;De 30 a 39 años;Mujeres;2021;4,598
Balears, Illes;De 30 a 39 años;Mujeres;2020;2,162
Balears, Illes;De 30 a 39 años;Mujeres;2019;2,144
Balears, Illes;De 30 a 39 años;Mujeres;2018;2,136
Balears, Illes;De 40 a 44 años;Total;2021;9,559
Balears, Illes;De 40 a 44 años;Total;2020;6,368
Balears, Illes;De 40 a 44 años;Total;2019;10,045
Balears, Illes;De 40 a 44 años;Total;2018;4,629
Balears, Illes;De 40 a 44 años;Hombres;2021;13,022
Balears, Illes;De 40 a 44 años;Hombres;2020;10,554
Balears, Illes;De 40 a 44 años;Hombres;2019;15,817
Balears, Illes;De 40 a 44 años;Hombres;2018;7,103
Balears, Illes;De 40 a 44 años;Mujeres;2021;5,899
Balears, Illes;De 40 a 44 años;Mujeres;2020;1,884
Balears, Illes;De 40 a 44 años;Mujeres;2019;3,802
Balears, Illes;De 40 a 44 años;Mujeres;2018;1,934
Balears, Illes;De 45 a 49 años;Total;2021;9,636
Balears, Illes;De 45 a 49 años;Total;2020;8,517
Balears, Illes;De 45 a 49 años;Total;2019;12,668
Balears, Illes;De 45 a 49 años;Total;2018;12,091
Balears, Illes;De 45 a 49 años;Hombres;2021;16,677
Balears, Illes;De 45 a 49 años;Hombres;2020;14,552
Balears, Illes;De 45 a 49 años;Hombres;2019;20,608
Balears, Illes;De 45 a 49 años;Hombres;2018;21,327
Balears, Illes;De 45 a 49 años;Mujeres;2021;2,008
Balears, Illes;De 45 a 49 años;Mujeres;2020;1,973
Balears, Illes;De 45 a 49 años;Mujeres;2019;4,062
Balears, Illes;De 45 a 49 años;Mujeres;2018;2,098
Balears, Illes;De 50 a 54 años;Total;2021;13,001
Balears, Illes;De 50 a 54 años;Total;2020;17,117
Balears, Illes;De 50 a 54 años;Total;2019;14,224
Balears, Illes;De 50 a 54 años;Total;2018;7,857
Balears, Illes;De 50 a 54 años;Hombres;2021;16,937
Balears, Illes;De 50 a 54 años;Hombres;2020;27,139
Balears, Illes;De 50 a 54 años;Hombres;2019;17,104
Balears, Illes;De 50 a 54 años;Hombres;2018;13,178
Balears, Illes;De 50 a 54 años;Mujeres;2021;8,875
Balears, Illes;De 50 a 54 años;Mujeres;2020;6,583
Balears, Illes;De 50 a 54 años;Mujeres;2019;11,205
Balears, Illes;De 50 a 54 años;Mujeres;2018;2,296
Balears, Illes;De 55 a 59 años;Total;2021;11,099
Balears, Illes;De 55 a 59 años;Total;2020;6,108
Balears, Illes;De 55 a 59 años;Total;2019;11,38
Balears, Illes;De 55 a 59 años;Total;2018;5,259
Balears, Illes;De 55 a 59 años;Hombres;2021;19,751
Balears, Illes;De 55 a 59 años;Hombres;2020;7,296
Balears, Illes;De 55 a 59 años;Hombres;2019;17,649
Balears, Illes;De 55 a 59 años;Hombres;2018;5,253
Balears, Illes;De 55 a 59 años;Mujeres;2021;2,464
Balears, Illes;De 55 a 59 años;Mujeres;2020;4,909
Balears, Illes;De 55 a 59 años;Mujeres;2019;5,073
Balears, Illes;De 55 a 59 años;Mujeres;2018;5,266
Balears, Illes;De 60 a 64 años;Total;2021;13,211
Balears, Illes;De 60 a 64 años;Total;2020;14,572
Balears, Illes;De 60 a 64 años;Total;2019;7,59
Balears, Illes;De 60 a 64 años;Total;2018;6,297
Balears, Illes;De 60 a 64 años;Hombres;2021;24,053
Balears, Illes;De 60 a 64 años;Hombres;2020;23,807
Balears, Illes;De 60 a 64 años;Hombres;2019;6,221
Balears, Illes;De 60 a 64 años;Hombres;2018;9,682
Balears, Illes;De 60 a 64 años;Mujeres;2021;2,868
Balears, Illes;De 60 a 64 años;Mujeres;2020;5,711
Balears, Illes;De 60 a 64 años;Mujeres;2019;8,895
Balears, Illes;De 60 a 64 años;Mujeres;2018;3,074
Balears, Illes;De 65 a 69 años;Total;2021;10,732
Balears, Illes;De 65 a 69 años;Total;2020;7,067
Balears, Illes;De 65 a 69 años;Total;2019;9,056
Balears, Illes;De 65 a 69 años;Total;2018;7,326
Balears, Illes;De 65 a 69 años;Hombres;2021;14,832
Balears, Illes;De 65 a 69 años;Hombres;2020;14,576
Balears, Illes;De 65 a 69 años;Hombres;2019;7,452
Balears, Illes;De 65 a 69 años;Hombres;2018;11,311
Balears, Illes;De 65 a 69 años;Mujeres;2021;6,912
Balears, Illes;De 65 a 69 años;Mujeres;2020;0
Balears, Illes;De 65 a 69 años;Mujeres;2019;10,573
Balears, Illes;De 65 a 69 años;Mujeres;2018;3,562
Balears, Illes;De 70 a 74 años;Total;2021;8,358
Balears, Illes;De 70 a 74 años;Total;2020;8,141
Balears, Illes;De 70 a 74 años;Total;2019;8,28
Balears, Illes;De 70 a 74 años;Total;2018;12,798
Balears, Illes;De 70 a 74 años;Hombres;2021;13,335
Balears, Illes;De 70 a 74 años;Hombres;2020;12,94
Balears, Illes;De 70 a 74 años;Hombres;2019;4,369
Balears, Illes;De 70 a 74 años;Hombres;2018;27,002
Balears, Illes;De 70 a 74 años;Mujeres;2021;3,943
Balears, Illes;De 70 a 74 años;Mujeres;2020;3,853
Balears, Illes;De 70 a 74 años;Mujeres;2019;11,801
Balears, Illes;De 70 a 74 años;Mujeres;2018;0
Balears, Illes;De 75 a 79 años;Total;2021;13,56
Balears, Illes;De 75 a 79 años;Total;2020;10,764
Balears, Illes;De 75 a 79 años;Total;2019;22,708
Balears, Illes;De 75 a 79 años;Total;2018;9,134
Balears, Illes;De 75 a 79 años;Hombres;2021;17,823
Balears, Illes;De 75 a 79 años;Hombres;2020;17,57
Balears, Illes;De 75 a 79 años;Hombres;2019;37,016
Balears, Illes;De 75 a 79 años;Hombres;2018;13,225
Balears, Illes;De 75 a 79 años;Mujeres;2021;9,979
Balears, Illes;De 75 a 79 años;Mujeres;2020;4,979
Balears, Illes;De 75 a 79 años;Mujeres;2019;10,515
Balears, Illes;De 75 a 79 años;Mujeres;2018;5,643
Balears, Illes;De 80 a 84 años;Total;2021;0
Balears, Illes;De 80 a 84 años;Total;2020;3,97
Balears, Illes;De 80 a 84 años;Total;2019;23,98
Balears, Illes;De 80 a 84 años;Total;2018;7,838
Balears, Illes;De 80 a 84 años;Hombres;2021;0
Balears, Illes;De 80 a 84 años;Hombres;2020;9,383
Balears, Illes;De 80 a 84 años;Hombres;2019;47,806
Balears, Illes;De 80 a 84 años;Hombres;2018;9,365
Balears, Illes;De 80 a 84 años;Mujeres;2021;0
Balears, Illes;De 80 a 84 años;Mujeres;2020;0
Balears, Illes;De 80 a 84 años;Mujeres;2019;6,867
Balears, Illes;De 80 a 84 años;Mujeres;2018;6,74
Balears, Illes;De 85 a 89 años;Total;2021;23,112
Balears, Illes;De 85 a 89 años;Total;2020;39,952
Balears, Illes;De 85 a 89 años;Total;2019;0
Balears, Illes;De 85 a 89 años;Total;2018;18,124
Balears, Illes;De 85 a 89 años;Hombres;2021;62,962
Balears, Illes;De 85 a 89 años;Hombres;2020;76,236
Balears, Illes;De 85 a 89 años;Hombres;2019;0
Balears, Illes;De 85 a 89 años;Hombres;2018;33,671
Balears, Illes;De 85 a 89 años;Mujeres;2021;0
Balears, Illes;De 85 a 89 años;Mujeres;2020;18,244
Balears, Illes;De 85 a 89 años;Mujeres;2019;0
Balears, Illes;De 85 a 89 años;Mujeres;2018;9,423
Balears, Illes;De 90 a 94 años;Total;2021;0
Balears, Illes;De 90 a 94 años;Total;2020;12,715
Balears, Illes;De 90 a 94 años;Total;2019;13,409
Balears, Illes;De 90 a 94 años;Total;2018;0
Balears, Illes;De 90 a 94 años;Hombres;2021;0
Balears, Illes;De 90 a 94 años;Hombres;2020;41,36
Balears, Illes;De 90 a 94 años;Hombres;2019;43,62
Balears, Illes;De 90 a 94 años;Hombres;2018;0
Balears, Illes;De 90 a 94 años;Mujeres;2021;0
Balears, Illes;De 90 a 94 años;Mujeres;2020;0
Balears, Illes;De 90 a 94 años;Mujeres;2019;0
Balears, Illes;De 90 a 94 años;Mujeres;2018;0
Balears, Illes;95 y más años;Total;2021;0
Balears, Illes;95 y más años;Total;2020;0
Balears, Illes;95 y más años;Total;2019;0
Balears, Illes;95 y más años;Total;2018;0
Balears, Illes;95 y más años;Hombres;2021;0
Balears, Illes;95 y más años;Hombres;2020;0
Balears, Illes;95 y más años;Hombres;2019;0
Balears, Illes;95 y más años;Hombres;2018;0
Balears, Illes;95 y más años;Mujeres;2021;0
Balears, Illes;95 y más años;Mujeres;2020;0
Balears, Illes;95 y más años;Mujeres;2019;0
Balears, Illes;95 y más años;Mujeres;2018;0
Canarias;Menos de 15 años;Total;2021;0,775
Canarias;Menos de 15 años;Total;2020;0,353
Canarias;Menos de 15 años;Total;2019;0
Canarias;Menos de 15 años;Total;2018;0
Canarias;Menos de 15 años;Hombres;2021;0,755
Canarias;Menos de 15 años;Hombres;2020;0
Canarias;Menos de 15 años;Hombres;2019;0
Canarias;Menos de 15 años;Hombres;2018;0
Canarias;Menos de 15 años;Mujeres;2021;0,796
Canarias;Menos de 15 años;Mujeres;2020;0,726
Canarias;Menos de 15 años;Mujeres;2019;0
Canarias;Menos de 15 años;Mujeres;2018;0
Canarias;De 15 a 29 años;Total;2021;5,555
Canarias;De 15 a 29 años;Total;2020;3,5
Canarias;De 15 a 29 años;Total;2019;5,44
Canarias;De 15 a 29 años;Total;2018;3,04
Canarias;De 15 a 29 años;Hombres;2021;8,24
Canarias;De 15 a 29 años;Hombres;2020;5,874
Canarias;De 15 a 29 años;Hombres;2019;9,705
Canarias;De 15 a 29 años;Hombres;2018;4,934
Canarias;De 15 a 29 años;Mujeres;2021;2,809
Canarias;De 15 a 29 años;Mujeres;2020;1,086
Canarias;De 15 a 29 años;Mujeres;2019;1,098
Canarias;De 15 a 29 años;Mujeres;2018;1,115
Canarias;De 30 a 39 años;Total;2021;7,716
Canarias;De 30 a 39 años;Total;2020;9,134
Canarias;De 30 a 39 años;Total;2019;4,352
Canarias;De 30 a 39 años;Total;2018;10,157
Canarias;De 30 a 39 años;Hombres;2021;12,146
Canarias;De 30 a 39 años;Hombres;2020;15,256
Canarias;De 30 a 39 años;Hombres;2019;6,899
Canarias;De 30 a 39 años;Hombres;2018;16,757
Canarias;De 30 a 39 años;Mujeres;2021;3,335
Canarias;De 30 a 39 años;Mujeres;2020;3,121
Canarias;De 30 a 39 años;Mujeres;2019;1,849
Canarias;De 30 a 39 años;Mujeres;2018;3,664
Canarias;De 40 a 44 años;Total;2021;13,089
Canarias;De 40 a 44 años;Total;2020;11,419
Canarias;De 40 a 44 años;Total;2019;14,412
Canarias;De 40 a 44 años;Total;2018;10,76
Canarias;De 40 a 44 años;Hombres;2021;23,819
Canarias;De 40 a 44 años;Hombres;2020;18,488
Canarias;De 40 a 44 años;Hombres;2019;22,281
Canarias;De 40 a 44 años;Hombres;2018;19,081
Canarias;De 40 a 44 años;Mujeres;2021;2,198
Canarias;De 40 a 44 años;Mujeres;2020;4,197
Canarias;De 40 a 44 años;Mujeres;2019;6,28
Canarias;De 40 a 44 años;Mujeres;2018;2,092
Canarias;De 45 a 49 años;Total;2021;13,663
Canarias;De 45 a 49 años;Total;2020;9,803
Canarias;De 45 a 49 años;Total;2019;8,904
Canarias;De 45 a 49 años;Total;2018;13,12
Canarias;De 45 a 49 años;Hombres;2021;16,907
Canarias;De 45 a 49 años;Hombres;2020;16,35
Canarias;De 45 a 49 años;Hombres;2019;16,49
Canarias;De 45 a 49 años;Hombres;2018;24,705
Canarias;De 45 a 49 años;Mujeres;2021;10,302
Canarias;De 45 a 49 años;Mujeres;2020;2,999
Canarias;De 45 a 49 años;Mujeres;2019;1,009
Canarias;De 45 a 49 años;Mujeres;2018;1,031
Canarias;De 50 a 54 años;Total;2021;14,761
Canarias;De 50 a 54 años;Total;2020;12,505
Canarias;De 50 a 54 años;Total;2019;11,13
Canarias;De 50 a 54 años;Total;2018;10,81
Canarias;De 50 a 54 años;Hombres;2021;19,839
Canarias;De 50 a 54 años;Hombres;2020;18,545
Canarias;De 50 a 54 años;Hombres;2019;16,768
Canarias;De 50 a 54 años;Hombres;2018;16,005
Canarias;De 50 a 54 años;Mujeres;2021;9,584
Canarias;De 50 a 54 años;Mujeres;2020;6,325
Canarias;De 50 a 54 años;Mujeres;2019;5,362
Canarias;De 50 a 54 años;Mujeres;2018;5,477
Canarias;De 55 a 59 años;Total;2021;12,112
Canarias;De 55 a 59 años;Total;2020;19,162
Canarias;De 55 a 59 años;Total;2019;15,848
Canarias;De 55 a 59 años;Total;2018;10,97
Canarias;De 55 a 59 años;Hombres;2021;19,71
Canarias;De 55 a 59 años;Hombres;2020;30,236
Canarias;De 55 a 59 años;Hombres;2019;26,855
Canarias;De 55 a 59 años;Hombres;2018;21,981
Canarias;De 55 a 59 años;Mujeres;2021;4,591
Canarias;De 55 a 59 años;Mujeres;2020;8,118
Canarias;De 55 a 59 años;Mujeres;2019;4,87
Canarias;De 55 a 59 años;Mujeres;2018;0
Canarias;De 60 a 64 años;Total;2021;21,853
Canarias;De 60 a 64 años;Total;2020;9,621
Canarias;De 60 a 64 años;Total;2019;18,522
Canarias;De 60 a 64 años;Total;2018;20,852
Canarias;De 60 a 64 años;Hombres;2021;32,565
Canarias;De 60 a 64 años;Hombres;2020;13,484
Canarias;De 60 a 64 años;Hombres;2019;28,147
Canarias;De 60 a 64 años;Hombres;2018;29,298
