Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total nacional;De 65 a 69 años;Hombres;2021;13,453
Total nacional;De 65 a 69 años;Hombres;2020;15,856
Total nacional;De 65 a 69 años;Hombres;2019;14,906
Total nacional;De 65 a 69 años;Hombres;2018;14,302
Total nacional;De 65 a 69 años;Mujeres;2021;5,699
Total nacional;De 65 a 69 años;Mujeres;2020;4,584
Total nacional;De 65 a 69 años;Mujeres;2019;4,665
Total nacional;De 65 a 69 años;Mujeres;2018;5,963
Total nacional;De 70 a 74 años;Total;2021;9,848
Total nacional;De 70 a 74 años;Total;2020;11,903
Total nacional;De 70 a 74 años;Total;2019;10,883
Total nacional;De 70 a 74 años;Total;2018;10,671
Total nacional;De 70 a 74 años;Hombres;2021;15,829
Total nacional;De 70 a 74 años;Hombres;2020;18,723
Total nacional;De 70 a 74 años;Hombres;2019;17,358
Total nacional;De 70 a 74 años;Hombres;2018;16,058
Total nacional;De 70 a 74 años;Mujeres;2021;4,706
Total nacional;De 70 a 74 años;Mujeres;2020;6,038
Total nacional;De 70 a 74 años;Mujeres;2019;5,314
Total nacional;De 70 a 74 años;Mujeres;2018;6,04
Total nacional;De 75 a 79 años;Total;2021;14,52
Total nacional;De 75 a 79 años;Total;2020;12,668
Total nacional;De 75 a 79 años;Total;2019;13,454
Total nacional;De 75 a 79 años;Total;2018;10,933
Total nacional;De 75 a 79 años;Hombres;2021;24,645
Total nacional;De 75 a 79 años;Hombres;2020;20,635
Total nacional;De 75 a 79 años;Hombres;2019;22,745
Total nacional;De 75 a 79 años;Hombres;2018;18,439
Total nacional;De 75 a 79 años;Mujeres;2021;6,467
Total nacional;De 75 a 79 años;Mujeres;2020;6,306
Total nacional;De 75 a 79 años;Mujeres;2019;6,046
Total nacional;De 75 a 79 años;Mujeres;2018;4,985
Total nacional;De 80 a 84 años;Total;2021;17,826
Total nacional;De 80 a 84 años;Total;2020;18,577
Total nacional;De 80 a 84 años;Total;2019;16,212
Total nacional;De 80 a 84 años;Total;2018;16,423
Total nacional;De 80 a 84 años;Hombres;2021;32,326
Total nacional;De 80 a 84 años;Hombres;2020;35,014
Total nacional;De 80 a 84 años;Hombres;2019;30,447
Total nacional;De 80 a 84 años;Hombres;2018;29,689
Total nacional;De 80 a 84 años;Mujeres;2021;7,828
Total nacional;De 80 a 84 años;Mujeres;2020;7,307
Total nacional;De 80 a 84 años;Mujeres;2019;6,5
Total nacional;De 80 a 84 años;Mujeres;2018;7,386
Total nacional;De 85 a 89 años;Total;2021;18,273
Total nacional;De 85 a 89 años;Total;2020;18,608
Total nacional;De 85 a 89 años;Total;2019;14,976
Total nacional;De 85 a 89 años;Total;2018;18,173
Total nacional;De 85 a 89 años;Hombres;2021;38,896
Total nacional;De 85 a 89 años;Hombres;2020;40,022
Total nacional;De 85 a 89 años;Hombres;2019;32,676
Total nacional;De 85 a 89 años;Hombres;2018;38,31
Total nacional;De 85 a 89 años;Mujeres;2021;6,472
Total nacional;De 85 a 89 años;Mujeres;2020;6,196
Total nacional;De 85 a 89 años;Mujeres;2019;4,784
Total nacional;De 85 a 89 años;Mujeres;2018;6,687
Total nacional;De 90 a 94 años;Total;2021;19,563
Total nacional;De 90 a 94 años;Total;2020;22,196
Total nacional;De 90 a 94 años;Total;2019;18,935
Total nacional;De 90 a 94 años;Total;2018;17,894
Total nacional;De 90 a 94 años;Hombres;2021;52,84
Total nacional;De 90 a 94 años;Hombres;2020;55,955
Total nacional;De 90 a 94 años;Hombres;2019;47,64
Total nacional;De 90 a 94 años;Hombres;2018;44,841
Total nacional;De 90 a 94 años;Mujeres;2021;4,763
Total nacional;De 90 a 94 años;Mujeres;2020;6,91
Total nacional;De 90 a 94 años;Mujeres;2019;6,09
Total nacional;De 90 a 94 años;Mujeres;2018;6,005
Total nacional;95 y más años;Total;2021;16,02
Total nacional;95 y más años;Total;2020;19,638
Total nacional;95 y más años;Total;2019;12,216
Total nacional;95 y más años;Total;2018;9,622
Total nacional;95 y más años;Hombres;2021;57,468
Total nacional;95 y más años;Hombres;2020;65,035
Total nacional;95 y más años;Hombres;2019;42,27
Total nacional;95 y más años;Hombres;2018;28,378
Total nacional;95 y más años;Mujeres;2021;3,007
Total nacional;95 y más años;Mujeres;2020;4,21
Total nacional;95 y más años;Mujeres;2019;2,173
Total nacional;95 y más años;Mujeres;2018;3,483
Andalucía;Menos de 15 años;Total;2021;0,166
Andalucía;Menos de 15 años;Total;2020;0,153
Andalucía;Menos de 15 años;Total;2019;0
Andalucía;Menos de 15 años;Total;2018;0,075
Andalucía;Menos de 15 años;Hombres;2021;0,161
Andalucía;Menos de 15 años;Hombres;2020;0
Andalucía;Menos de 15 años;Hombres;2019;0
Andalucía;Menos de 15 años;Hombres;2018;0,145
Andalucía;Menos de 15 años;Mujeres;2021;0,171
Andalucía;Menos de 15 años;Mujeres;2020;0,315
Andalucía;Menos de 15 años;Mujeres;2019;0
Andalucía;Menos de 15 años;Mujeres;2018;0
Andalucía;De 15 a 29 años;Total;2021;4,233
Andalucía;De 15 a 29 años;Total;2020;4,813
Andalucía;De 15 a 29 años;Total;2019;3,324
Andalucía;De 15 a 29 años;Total;2018;3,7
Andalucía;De 15 a 29 años;Hombres;2021;6,27
Andalucía;De 15 a 29 años;Hombres;2020;6,695
Andalucía;De 15 a 29 años;Hombres;2019;5,194
Andalucía;De 15 a 29 años;Hombres;2018;6,354
Andalucía;De 15 a 29 años;Mujeres;2021;2,071
Andalucía;De 15 a 29 años;Mujeres;2020;2,815
Andalucía;De 15 a 29 años;Mujeres;2019;1,34
Andalucía;De 15 a 29 años;Mujeres;2018;0,895
Andalucía;De 30 a 39 años;Total;2021;8,277
Andalucía;De 30 a 39 años;Total;2020;6,462
Andalucía;De 30 a 39 años;Total;2019;6,833
Andalucía;De 30 a 39 años;Total;2018;6,745
Andalucía;De 30 a 39 años;Hombres;2021;12,847
Andalucía;De 30 a 39 años;Hombres;2020;10,583
Andalucía;De 30 a 39 años;Hombres;2019;10,317
Andalucía;De 30 a 39 años;Hombres;2018;11,053
Andalucía;De 30 a 39 años;Mujeres;2021;3,658
Andalucía;De 30 a 39 años;Mujeres;2020;2,335
Andalucía;De 30 a 39 años;Mujeres;2019;3,336
Andalucía;De 30 a 39 años;Mujeres;2018;2,401
Andalucía;De 40 a 44 años;Total;2021;11,441
Andalucía;De 40 a 44 años;Total;2020;10,9
Andalucía;De 40 a 44 años;Total;2019;9,844
Andalucía;De 40 a 44 años;Total;2018;10,143
Andalucía;De 40 a 44 años;Hombres;2021;18,392
Andalucía;De 40 a 44 años;Hombres;2020;16,229
Andalucía;De 40 a 44 años;Hombres;2019;15,258
Andalucía;De 40 a 44 años;Hombres;2018;14,406
Andalucía;De 40 a 44 años;Mujeres;2021;4,379
Andalucía;De 40 a 44 años;Mujeres;2020;5,491
Andalucía;De 40 a 44 años;Mujeres;2019;4,323
Andalucía;De 40 a 44 años;Mujeres;2018;5,781
Andalucía;De 45 a 49 años;Total;2021;14,405
Andalucía;De 45 a 49 años;Total;2020;11,676
Andalucía;De 45 a 49 años;Total;2019;10,912
Andalucía;De 45 a 49 años;Total;2018;10,398
Andalucía;De 45 a 49 años;Hombres;2021;22,054
Andalucía;De 45 a 49 años;Hombres;2020;17,122
Andalucía;De 45 a 49 años;Hombres;2019;17,581
Andalucía;De 45 a 49 años;Hombres;2018;17,121
Andalucía;De 45 a 49 años;Mujeres;2021;6,666
Andalucía;De 45 a 49 años;Mujeres;2020;6,166
