Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Leve;9,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Moderada;1,51
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Moderadamente grave;0,89
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Grave;0,44
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Ninguna;88,42
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Leve;9,75
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Moderada;0,72
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Moderadamente grave;0,57
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Grave;0,54
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Ninguna;91,06
Hombres;Total;;Leve;6,28
Hombres;Total;;Moderada;1,70
Hombres;Total;;Moderadamente grave;0,70
Hombres;Total;;Grave;0,26
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Ninguna;93,51
Hombres;Total;Andalucía;Leve;4,31
Hombres;Total;Andalucía;Moderada;1,71
Hombres;Total;Andalucía;Moderadamente grave;0,40
Hombres;Total;Andalucía;Grave;0,07
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Ninguna;92,21
Hombres;Total;Aragón;Leve;5,37
Hombres;Total;Aragón;Moderada;2,18
Hombres;Total;Aragón;Moderadamente grave;0,24
Hombres;Total;Aragón;Grave;0,00
Hombres;Total;Asturias (Principado de);TOTAL;100,00
Hombres;Total;Asturias (Principado de);Ninguna;94,06
Hombres;Total;Asturias (Principado de);Leve;3,59
Hombres;Total;Asturias (Principado de);Moderada;1,18
Hombres;Total;Asturias (Principado de);Moderadamente grave;0,97
Hombres;Total;Asturias (Principado de);Grave;0,20
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Ninguna;97,13
Hombres;Total;Balears (Illes);Leve;0,74
Hombres;Total;Balears (Illes);Moderada;0,83
Hombres;Total;Balears (Illes);Moderadamente grave;0,00
Hombres;Total;Balears (Illes);Grave;1,30
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Ninguna;92,49
Hombres;Total;Canarias;Leve;5,04
Hombres;Total;Canarias;Moderada;0,81
Hombres;Total;Canarias;Moderadamente grave;0,65
Hombres;Total;Canarias;Grave;1,01
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Ninguna;95,44
Hombres;Total;Cantabria;Leve;1,76
Hombres;Total;Cantabria;Moderada;2,25
Hombres;Total;Cantabria;Moderadamente grave;0,52
Hombres;Total;Cantabria;Grave;0,03
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Ninguna;86,05
Hombres;Total;Castilla y León;Leve;9,54
Hombres;Total;Castilla y León;Moderada;2,61
Hombres;Total;Castilla y León;Moderadamente grave;1,81
Hombres;Total;Castilla y León;Grave;0,00
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Ninguna;94,69
Hombres;Total;Castilla-La Mancha;Leve;4,27
Hombres;Total;Castilla-La Mancha;Moderada;0,77
Hombres;Total;Castilla-La Mancha;Moderadamente grave;0,28
Hombres;Total;Castilla-La Mancha;Grave;0,00
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Ninguna;89,87
Hombres;Total;Cataluña;Leve;7,46
Hombres;Total;Cataluña;Moderada;2,02
Hombres;Total;Cataluña;Moderadamente grave;0,56
Hombres;Total;Cataluña;Grave;0,08
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Ninguna;85,21
Hombres;Total;Comunitat Valenciana;Leve;9,36
Hombres;Total;Comunitat Valenciana;Moderada;3,00
Hombres;Total;Comunitat Valenciana;Moderadamente grave;1,85
Hombres;Total;Comunitat Valenciana;Grave;0,58
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Ninguna;93,22
Hombres;Total;Extremadura;Leve;6,12
Hombres;Total;Extremadura;Moderada;0,49
Hombres;Total;Extremadura;Moderadamente grave;0,00
Hombres;Total;Extremadura;Grave;0,17
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Ninguna;90,50
Hombres;Total;Galicia;Leve;6,79
Hombres;Total;Galicia;Moderada;1,65
Hombres;Total;Galicia;Moderadamente grave;0,96
Hombres;Total;Galicia;Grave;0,10
Hombres;Total;Madrid (Comunidad de);TOTAL;100,00
Hombres;Total;Madrid (Comunidad de);Ninguna;92,59
Hombres;Total;Madrid (Comunidad de);Leve;6,23
Hombres;Total;Madrid (Comunidad de);Moderada;0,64
Hombres;Total;Madrid (Comunidad de);Moderadamente grave;0,21
Hombres;Total;Madrid (Comunidad de);Grave;0,33
